District Name,Name,Address,Contact Number,
,Dr joseph sulya,"2VMX+RCM, Kachahari Rd",,
,Dr. Choyel,2WG2+8W5,,
,patanjali arogya kendra ( Yatharth Ayurved),MP SH 39,094793 79996,
,गोविंद आयुर्वेदिक दवाखाना GOVIND AYURVEDIC,"04 bhawani chouk Sardar vallabh bhai Patel Complex, in front of madhur Courier",081090 24183,
,AAI JI AYURVEDIC & HERBAL SEVA SANSTHAN FOUNDATION,Khargone - Barwani Hwy,,
,Ayurved dhanvantari panchkarma chikitsa center,"Near Axis Bank n Jain Mandir sanawad road Khargone mp, Bus station area, Sanawad road president hotel",,
,Sairam ayurvedic panchkarma & infertility clinic(Dr Vikas mukati),behind gaytri temple,,
,Life Care Clinic,"Near K.K. Electronics, Molana, Maulana Azad Marg",088508 46881,
,Dr. Varun Saraf,"7 Tilak Marg, Amla line",099931 16463,
,Shatakshi ayurved clinic sendhwa,40 Motibagh shankar gali Sendhwa,,
,Shri Dhanvantari Ayurveda & Panchkarma Clinic,Gayatri Mandir Chouraha,,
,Dr Laxman Awasya,"2WV6+6PJ, Ashagram Rd",089892 73561,
,Ayurvedik Dham and panchakarma specialist centre,"134, Tilak Path",097139 26912,
,Surya Medical,·,099938 15777,
,,,,
Burhanpur,Mangal Ayurvedic Clinic,Tilak Rd,,
,Devendra Shastri Ayurvedic Clinic,"863H+H84, Unnamed Road",,
,Jain Health Care Center,"New Indira Colony, Burhanpur, Madhya Pradesh 450331, Next to Digambar Jain Mandir, near Milian Methai house",094075 37670,
,Aarogya ayurved panchakarma evam yog kendra,"near, shah bazar, Shani Mandir Rd",097554 37171,
,Shamlal Paliwal Ayurvedic Oshadi Bhandar,"Plot No, Nav Durga Chowk, 13B, Qila Rd",099813 53351,
,Swasthayu ayurvedic clinic and panchkarma centre,"In front of Nimar Hospital, Amravati road, near Mannapuram gold loan bank",090110 53562,
,"ARAM KING ALL,ITWARA",868P+9H9,,
,Shamlal Lalchand Paliwal Ayurvedic Kirana Shop,"Shamlal Lalchand Paliwal, Navdurga Chowk",094066 89488,
,NITYAM AYURVED EVAM PANCHAKARMA CHIKITSALAY,beside TAPTI HOSPITAL,,
,SHIVOHAM MULTI-SPECIALITY AYURVEDIC PANCHKARMA & KIDNEY TREATMENT CLINIC,"Amravati road, Madhya Pradesh State Highway 27 S 103, 2nd floor, Krishna kunj complex Infront of Nimar Hospital",098934 31398,
,Dr Jimmy Clinic,Arco complex Shanwara Chowraha,070004 21417,
,Varma Ayurvedic Stores,"Gandhi Chowk near Kamal Hotel, Gandhi Chowk, Old Nagar Nigam Rd",,
,Shafin Herbal Care ( Unani Pharmacy ),"Near Syndicate Bank Jay Stambh Shanwara, Road",,
,Khidki wale hakim ji,"122, Budhwara Rd",,
,AL JILANI HEALTHCARE CLINIC,"Near Iqra School, Chandarakala, Loharmandi Rd",,
,Sarvayush Naturopathy & Yoga Research Center,Amravati Road,,
,Alamgeer Quadri Unani Clinic,"867J+9H8, Loharmandi Rd",,
,Dr.Surendra Jadhav,"72, Adarsh Sevalay, Karanj bazar, Rajghat Rd",099260 30285,
,Meet Wellness Point,"865M+99G, Kunshara Bazar Rd",,
,Adarsh Tulaskar,864H+4C5,,
,Dr. Naseem Akhtar Ansari,"869J+HJX, Loharmandi Rd",,
,All is Well Super Clinic Burhanpur,in front of HDFC Bank,,
,"Dr S M Sadiq , Clinic care","House num 141/10, Budhwara Rd",,
,Hakeem pathan sahab,"862H+VCV, eid gaah raod, behind hotel shree maya shahi",,
,,,,
Indore,,,,
,,,,
,Sparsh Ayurveda Panchkarma Wellness Clinic Indore,"Capital Tower, 8, Sapna Sangeeta Rd",074006 06060,
,Ayurveda Consultant-Best Ayurvedic Doctor In Indore,B-65 Tricone City,096300 31233,
,Jiva Ayurveda Clinic and Panchakarma Centre - Indore (Ayurvedic Doctor in Indore | Ayurvedic Hospital in Indore),"Manor G-4, Plot, Sanghi, 6/2, Yeshwant Niwas Rd, near Rani Sati Gate",093118 15818,
,Kayakalp - Best/Top Ayurvedic doctor / panchakarma shirodhara treatment massage center in indore near me,"18/2-c, Royal Avenue, 102, Lala Banarasilal Dawar Marg",098277 75075,
,Nisarg Ayurvedic Clinic & Panchkarma Centre,"34, Tower Chouraha, behind Shitla Mata Mandir",,
,Aayush Ayurveda & Panchkarma,"105, Times Square 1, near Sapna Sangeeta Road",097555 67611,
,Ayurved And Panchkarma Clinic (Bhawarkuwa)Dr.Shivdayal Barde,"जानीदेवी आयुर्वेद, Bholaram Ustad Marg",095843 00960,
,Dr Shahs,"M6 Amardarshan, 28/2 Old palasia, Saket Square",092294 55119,
,Prabha Ayurveda,"201 A, Sheetal Nagar, near Radisson Hotel",082259 82258,
,"Dr. Haldar's Piles Care Centre, Indore","306, 3rd Floor, 8, Capital Tower, Lift, Sapna Sangeeta Rd, near Agrasen Square",096912 41120,
,"Care Ayurveda Clinic, Kshar Sutra Therapy",FH-449 Sceme No 54,098270 89853,
,"Dr Anurag Jain MD Ayurved | Best Ayurvedic Doctor / Clinic, Ayurveda Panchakarma Clinic in Indore","M-8, Amar Darshan, Saket Anand Bazar Square",094253 11773,
,Dr Akhilesh Shrivastava-Ayurveda Speciality Clinic.,near union bank,099932 81713,
,Dr. Sahitya's Ayurveda Wellness Clinic Best Ayurveda Doctor in Indore for Obesity Arthritis PCOD/PCOS Male/Female Infertility,"68,Bhaiyaji Road, opp. Mother Diary Ground",070575 86983,
,Dr Sushma Khandelwal / Dr Sushma's Ayurveda hub / MD Ayurveda/Swarnprashan/Nadi Vaidya/counsellor/fertility clinic/migraine,"5, 47, Sapna Sangeeta Rd, next to bajaj sojatya show room microwave, opposite Gujarat Sweets",,
,Sattvam Ayurveda- Multi speciality Ayurveda clinic and panchkarma center,"floor, 29, first, 1, Kanadia Rd",081098 74533,
,Dr Sandeep Ayurvedic Clinic in indore | Best Ayurvedic Doctors in Indore | ayurvedic doctors in Indore,"Navneet Priya Apartment, A/724, Annapurna Rd, in front of Dussehra Maidan",094254 73908,
,Brahm Vedicure Ayurveda Panchkarma clinic,"H- 1161/1162, Rajeev Awas Vihar, Sch. No. 114",,
,Trisutra Ayurveda Clinic & Panchkarma Center,"G1, Regency Ambika building, 44 shree nagar extension Chandralok Square",095221 15678,
,Dr Vikas Dabkara,·,098269 33444,
,Dr Gupta's Dental Clinic & Hair Skin Ayurvedic Panchakarma Center,"59-B, near Bank of Maharashtra, opposite to Monika Galaxy",098263 98233,
,Moksha Sanjeevani Ayurveda and Panchakarma Treatment,"362 A Old Agrawal Nagar, Navlakha Rd, opposite Old Car Bazaar",,
,"Shashwat Ayurveda Panchkrma & Ksharsutra Clinic (piles, fissure and fistula speciality)","G-1 Adinath Apartment plot no. 317 A, Silicon city, Agra Bombay Rd",081030 87970,
,Siddhi ayurved panchkarma clinic,"23, Nyay Nagar Rd, near bridge",079876 99480,
,Shuddhi Hiims Ayurveda Clinic,"EB-254, Bombay Hospital Service Rd, behind Bombay Chemist",087920 87920,
,"Narmade ayurvedam panchkarma centre Dr.neeraj Yadav (BAMS),M.S.(AYU)",267 Shree Nagar extension Near chandralok square,,
,Vishwa Vyasam Ayurvedic Clinic,"Harmony Plaza, 107, Sapna Sangeeta Rd, opposite Lotus Showroom",,
,Dr Saloni Raghuwanshi Ayurvedic clinic,·,099771 55000,
,Dr. Akhilesh Shinde's Ayurved Cancer Care Indore,"69, Prince Yashwant Rd, behind Gurudwara",088891 88821,
,Yatharth Ayurveda and panchkarma clinic,157-B,,
,Sumedha Ayurveda Clinic & Panchkarma Centre,"105, Sapphire Heights, 12A, AB Rd",091118 00959,
,Shafin Herbal Care ( Unani Pharmacy ),"Near Syndicate Bank Jay Stambh Shanwara, Road",,
,Dr. Shahs Panchkarma Ayurveda Clinic,"28/2, Khargone - Indore Hwy",,
,Niramaya Ayurvedic Clinic & Panchkarm center,"163, Kila Maidan Rd",091792 80121,
,Dr Deepika Gorani,"Vikram Tower, 350 2nd Floor, Sapna Sangeeta Rd",099260 54789,
,Guru Ayurvedic Aushadhalaya (Chandiprasad),"PVF7+695, Jail Rd",,
,Punarnava Ayurvedic Center G3 Sunrise Apartment 183 Vidhya Nagar Near Gurudwara,MVX9+87F,,
,Kalyanam Ayurvedic hospital,"34, CAT Rd",099933 39528,
,Dr Pankaj Chansarkar,254,077278 81003,
,Guru Manish - Best Ayurvedic Treatment,"SHOP UG 7, ground floor, Girnar Tower, near 56 dukan, main road",074238 74238,
,Vaidya [dr] Lokesh Joshi,"43, Tilak Path",0731 498 0888,
,Divya Sanjivani Ayurveda - Multispeciality Clinic & Panchakarma Center,"8-A, Bhavanipur, Opposite Choithram OPD, Annapurna Rd, near HDFC Bank, Suraj Medical",,
,Shri Ambar Ayurveda Panchakarma Chikitsalaya & Agnikarma Kendra,"639, Narendra Tiwari Marg",094793 60161,
,Dr. Ashlesh Chourey Ayurvedic Clinic,137,,
,Sanskar Ayurved Neurotherapy & Panchakarm Clinic,"UG-3, Lakshya Square, Khandwa Rd, opp. Queen's college",098260 53539,
,Dr. Parashar's Ayurveda Clinic,"G - 9, Ahinsa Tower, 7, Mahatma Gandhi Rd",,
,Dr. Jain's Panchkarma Ayurveda Centre,"B-90 Greater Brajeshwari, behind JMB sweets",098270 90294,
,Prabha Ayurveda & Panchkarma,"Khajrana main road, Anand Bazar Rd, above Himalaya Store Infront of Wine Shop",082259 82258,
,AJIT AYURVEDA,"Sneh Corner, G4, 17, Anand Bazar Rd",098936 23554,
,Ayurcare Multispeciality Clinic | Dr. Anand Ghanghoriya MD (Med.)Ay | Skin Disease Clinic | Joints Pain Clinic | Sex Clinic,"3DS-1, near, water tank 78",089599 93088,
,dr.pradeep okh,10 gagjiwan ram nagr,,
,Bhardwaj's Ayurvedic Clinic,"Shop No.7, Nemawar Rd",094250 52547,
,RAVANA AYURVIDYA,"Shekhar central, M-7",080 4581 3596,
,r-Ayurveda,"Narendra Tiwari Marg, 635A, Sudama Nagar Main Rd",079746 81995,
,Yashfeen - The Ayurvedic Clinic,"G-5, Rafael Tower",098273 81345,
,Kerala Ayurvedic Bhavan,"Garden, BetweenAdvance Acadamy schoo and Best price wholesale market, opposite Velvet, behind Vasundara Complex",098936 01177,
,Siddha Ayurvedic Aushadhalaya,"167, Dr. Ambedkar Nagar, Behind CHL Hospital, Opposite Shiksha Niketan, School",096919 12009,
,Amrut Ayurveda clinic and Panchkarma centre,238,099264 72323,
,Dr. Vinaya thakre,"Atal Dwar, HIG Main Rd",099266 67010,
,Akhand Ayurved Bhawan,"209 Divine Greens, near ISKCON",092291 15518,
,Aryavaidyam Ayurveda,"Office 211, NRK Bizpark Building, 261, AB Rd",070008 67198,
,Ayurvedic Clinics,"7, 1, Chhawni Rd",,
,world of ayurveda Dr Yasha,PVXF+3H7,099070 13423,
,Charak ayurved Clinic,"4, Airport Rd",,
,Patil Ayurvedic Sadan,"No. 177/12, Vaishnav Stadium Jawahar Marg, Vaishnav Stadium Campus, Opp. Rajmohalla Petrol Pump, Raj Mohalla Chouraha,, Raj Mohalla",098260 74520,
,Narmade Ayurvedam Panchakarma Centre,"28, Khajrana Main Rd",,
,Vaidya Shelke's Siddharshi Ayurved,OFFICE NO 103 Scheme No:94 EC 15,,
,Chanda Ayurvedic,·,086021 13452,
,Indore Medical Hall (Ayurvedic Chikitsalaya),"81/ 12, main road, near national typing",089894 63513,
,"Divya Utkarsh Ayurveda & Yoga Health Ayurvedic Treatment, Medicines, Clinic","G-1,Gokuldham, Khandwa Rd",098260 42177,
,Dr. Ambalkar Clinic,"Trade House, M-8, 14/3, near Dhakkanwala Kuwa",099770 32320,
,Dr.Neeraj Vyas,"Mono Chamber, G-5, Mahatma Gandhi Rd",,
,Mrityunjaya Ayurveda Clinic,"118, Jain Mithai Bhandar, 119",,
,Nadi Vaidya Pushpa Shrivastava,"10 Baikunth Dham Colony, Anand, Raoji Bazar Main Rd",,
,Shushen Ayurvedic Clinic and Store,"1st Floor, Classic tower Malwa Mill Square",099939 73231,
,Arogyam Ayurvedic Cardiac And Multispeciality Centre,"9, Airport Rd",099266 68776,
,Ayurvedic Dawakhana,"50, Khajrana Main Rd",099269 10240,
,Aarav Multispecialty Panchakarm Clinic Indore,"Flat no.-D-1, Somnath Avenue",099939 77607,
,Ayurveda Piles Clinic.आयुर्वेदा पाइल्स क्लिनिक,674,,
,"Dr sangita memdoilia, sree padmanabham panchakarma and womens ayurvedic clinic","103, main road",083195 08062,
,Indian Clinic | Sexologist | Ayurvedic Chikitsa | Unaani Medicine,"manish palace, 413 A, Indore - Icchapur Hwy",,
,Dr Abdul Rahman ayurvedic clinic,28,,
,Shraddha Ayurvedic HealthCare,"Shop No.G-3, Bajaj ji hills plot no 20",079999 26741,
,Multani Ayurvedic Hospital,33,093021 09888,
,Dr D S Agrawal (M.D. Ayurveda) Mrityunjaya Ayurveda Clinic,"Nitya - Kunja"" 78/2, Biyabani Dhar Road, Near Gangwal bus stand, Near Kaila Mata Mandir",099264 62862,
,Ayurveda Gokulam Clinic Panchakarma center,"Scheme no. 54, Vijay nagar, Adarsha Malwa Building flat no. 101 first floor",,
,SHAH HEALTH CLINIC,"prime medical, Mathura colony Road, near 478, opp. Mhow dudh dairy",,
,Dr. UMA AYURVEDA,80,,
,"Madhavbaug Clinic - Rajendranagar, Indore","103, C, near ram mandir, opp. Bafana tent house",091097 45136,
,TRISHA SHOPPE,MR 9 Rd,091796 21052,
,Ayurvedic Hospital,369,,
,Swarnprashan centre indore ||स्वर्णप्राशन || सुवर्णप्राशन संस्कार|| Swarnprashan || Suvarnprashan || Dr Sushma,"5, 47, Sapna Sangeeta Rd, next to Bajaj Sojatya Show Room Dr Sushma's Ayurveda Hub",094250 68322,
,Ayushvedam health care and Panchakarma centre,"245, MR 9 Rd",,
,Ega Ayurveda,"Shop No.G-5, 60, 61, Anoop Nagar Road No. 2",083579 01066,
,Shri padmnabham women's Ayurved panchakarma clinic,"103, Mahu Naka Rd",,
,Ayurveda Treats Cancer,3/2Snehlataganj,,
,Pankaj Clinic,"Amardarshan Apartment, Anand Bazar Rd",098265 78330,
,"Ayurarogyasoukhyam - Dealer arya vaidya sala indore ayurvedic medicine shop, herbal and jadi buti","shop no 1&2, panchavati parisar,, near asthang ayurvedic college",091796 00301,
,Shree Ji Ayurved,"2nd Floor, 119-B, 13-14, Godhra Hwy",097527 45357,
,Dr Kamod Gambhir,"11/3, Dhar Rd, near keshav dharamshala dwar",098262 85478,
,Gangaram Mohanlal Ayurved,"Landmark:- GANGWAL, BUS STAND, 33-34, S Rajmohalla, near Vaishnav Girls School, opp. icici Bank",098930 22544,
,"Madhavbaug Clinic - Rambaug,Indore","plot no10,cmr point building,tilakpath ,near sai mandir narayanbaug, chouraha",091099 79735,
,Ayurvedic Dawakhana,"28, Kidwai Marg",090393 96570,
,Jain's Cow Urine Therapy Health Clinic,"165, RNT Marg, opp. Chetak Center",,
,Dr.Rahul Sonone,LG-19 Cross Road Building,079878 95219,
,Joshi Aushadhi Bhandar,"28, Kailash Marg, opposite Bank Of India",093403 50798,
,Beauty clinic,"5 Park Road, Nehru Park Rd",,
,Dr.Mishra's GynAyur & Fertility centre,"VE-38, Treasure Vihar",091318 58677,
,"Best Fissure, Fistula & Ksharasutra Centre","VE-41, Treasure Vihar",079878 01488,
,Madhavbaug Clinic- Vijay Nagar Indore,"Ch-111 Scheme no- 74 C, In front of Shankara eye hospital Vijay Nagar Indore, Pin- 452010",0731 497 7224,
,Patanjali Ayurved,"25, Anand Bazar Rd",,
,Dr Chitra's Ayurveda & Panchkarma,"29, Chota Bangarda Rd",089622 51000,
,Ayurvedic doctors clinic,"Aadish sales & marketing, 95, Jawahar Marg",,
,Bhagyogaya Ayurveda,"6B, Joshi Appartment , Vaibhav Nagar,Kanadiya road",,
,Ayurved Vigyan Sansthan,"212, Starlit Tower, 29, Y N Road, Opposite State Bank Of Indore, Y N Road",094250 57302,
,Khandelwal Ayurvedic,"Shop No.6, Geeta Bhawan Complex, Near Geeta Bhawan Mandir",0731 249 6804,
,consultant ayurveda,"78,hira nagar MR 9 near chandra gupt morya choraha sukhliya",074157 69028,
,Dr Deviprasad Tiwari Ayurvedic Clinic,"16-17, Geeta Nagar Extension, M T Cloth Market, M T Cloth Market",0731 238 6725,
,AYURVEDIC OCTOR IN INDORE,"201 A, Shital Nagar Gate Near Hotel Radisson, in front of bhumika school",,
,Aayush Ayurvedic Clinic,PVWF+J2V,083198 92915,
,,,,
Dhar,Govt. Ayurvedic Hospital,13-14,,
,Dr Dinesh Karma,Godha Parisar,093033 39299,
,IMC Ayurvedic Medicines,J822+GXF,,
,PATANJALI CHIKITSALAYA DHAR,"BHOJ MARG, 22/2, Dahreshwar Rd, near ANAJ MANDI",,
,Shakshi Ayurvedic Clinic,"H8V6+GW3, Main Road",,
,Dr D S Agrawal (M.D. Ayurveda) Mrityunjaya Ayurveda Clinic,"Nitya - Kunja"" 78/2, Biyabani Dhar Road, Near Gangwal bus stand, Near Kaila Mata Mandir",099264 62862,
,Madhavbaug Clinic Dhar,"103- Kashibagh Colony Opposite Chiku garden, behind old rukmani motors office",062647 15959,
,Dr Rajpurohit Clinic,,,
,vijay clinic,rajendra Marg,094250 71015,
,Dr Kamod Gambhir,"11/3, Dhar Rd, near keshav dharamshala dwar",098262 85478,
,Prabha Ayurveda & Panchkarma,"Khajrana main road, Anand Bazar Rd, above Himalaya Store Infront of Wine Shop",082259 82258,
,Prabha Ayurveda,"201 A, Sheetal Nagar, near Radisson Hotel",082259 82258,
,Dr Saloni Raghuwanshi Ayurvedic clinic,·,099771 55000,
,Dr. Jain's Panchkarma Ayurveda Centre,"B-90 Greater Brajeshwari, behind JMB sweets",098270 90294,
,Kayakalp - Best/Top Ayurvedic doctor / panchakarma shirodhara treatment massage center in indore near me,"18/2-c, Royal Avenue, 102, Lala Banarasilal Dawar Marg",098277 75075,
,Dr Shahs,"M6 Amardarshan, 28/2 Old palasia, Saket Square",092294 55119,
,Dr. Sawan Patidar's NIRAMAYA clinic,BL-298,096851 53707,
,Sanskar Ayurved Neurotherapy & Panchakarm Clinic,"UG-3, Lakshya Square, Khandwa Rd, opp. Queen's college",098260 53539,
,Siddhi ayurved panchkarma clinic,"23, Nyay Nagar Rd, near bridge",079876 99480,
,"Dr Anurag Jain MD Ayurved | Best Ayurvedic Doctor / Clinic, Ayurveda Panchakarma Clinic in Indore","M-8, Amar Darshan, Saket Anand Bazar Square",094253 11773,
,Yashfeen - The Ayurvedic Clinic,"G-5, Rafael Tower",098273 81345,
,Chanda Ayurvedic,·,086021 13452,
,Sparsh Ayurveda Panchkarma Wellness Clinic Indore,"Capital Tower, 8, Sapna Sangeeta Rd",074006 06060,
,"Dr. Haldar's Piles Care Centre, Indore","306, 3rd Floor, 8, Capital Tower, Lift, Sapna Sangeeta Rd, near Agrasen Square",096912 41120,
,Kalyanam Ayurvedic hospital,"34, CAT Rd",099933 39528,
,Guru Manish - Best Ayurvedic Treatment,"SHOP UG 7, ground floor, Girnar Tower, near 56 dukan, main road",074238 74238,
,Dr Sushma Khandelwal / Dr Sushma's Ayurveda hub / MD Ayurveda/Swarnprashan/Nadi Vaidya/counsellor/fertility clinic/migraine,"5, 47, Sapna Sangeeta Rd, next to bajaj sojatya show room microwave, opposite Gujarat Sweets",,
,Dr Sandeep Ayurvedic Clinic in indore | Best Ayurvedic Doctors in Indore | ayurvedic doctors in Indore,"Navneet Priya Apartment, A/724, Annapurna Rd, in front of Dussehra Maidan",094254 73908,
,Bhardwaj's Ayurvedic Clinic,"Shop No.7, Nemawar Rd",094250 52547,
,Akhand Ayurved Bhawan,"209 Divine Greens, near ISKCON",092291 15518,
,Brahm Vedicure Ayurveda Panchkarma clinic,"H- 1161/1162, Rajeev Awas Vihar, Sch. No. 114",,
,Dr Vikas Dabkara,·,098269 33444,
,"Care Ayurveda Clinic, Kshar Sutra Therapy",FH-449 Sceme No 54,098270 89853,
,Dr. O. P. Jariya.,M 46 Abhinandan nagar near MR 10,094248 11048,
,Dr.Piyush Bhargava Ayurvedic Cancer Specialist,1 B,098275 15560,
,Prashwantri Ayurveda Dr Prashant chawda,"Icchapurna complex, Atal Market Mandi Road",082693 37454,
,Niramaya Ayurvedic Clinic & Panchkarm center,"163, Kila Maidan Rd",091792 80121,
,Patil Ayurvedic Sadan,"No. 177/12, Vaishnav Stadium Jawahar Marg, Vaishnav Stadium Campus, Opp. Rajmohalla Petrol Pump, Raj Mohalla Chouraha,, Raj Mohalla",098260 74520,
,Ayurved And Panchkarma Clinic (Bhawarkuwa)Dr.Shivdayal Barde,"जानीदेवी आयुर्वेद, Bholaram Ustad Marg",095843 00960,
,Jiva Ayurveda Clinic and Panchakarma Centre - Indore (Ayurvedic Doctor in Indore | Ayurvedic Hospital in Indore),"Manor G-4, Plot, Sanghi, 6/2, Yeshwant Niwas Rd, near Rani Sati Gate",093118 15818,
,Dr Akhilesh Shrivastava-Ayurveda Speciality Clinic.,near union bank,099932 81713,
,Dr. Akhilesh Shinde's Ayurved Cancer Care Indore,"69, Prince Yashwant Rd, behind Gurudwara",088891 88821,
,Atharv Ayurved Enterprises,"PWF8+5R9, Kanadia Road Savindnagar, Vinoba Nagar",093024 72924,
,Shree Gurukripa Ayurvedic Chikitsalaya,"Shop No: 41, Rau Station Rd",097530 58633,
,Siddha Ayurvedic Aushadhalaya,"167, Dr. Ambedkar Nagar, Behind CHL Hospital, Opposite Shiksha Niketan, School",096919 12009,
,Shree Ji Ayurved,"2nd Floor, 119-B, 13-14, Godhra Hwy",097527 45357,
,"Dr. Puneet Sharma, Derma Care",J837+36G,,
,Dr Chitra's Ayurveda & Panchkarma,"29, Chota Bangarda Rd",089622 51000,
,Bhagyogaya Ayurveda,"6B, Joshi Appartment , Vaibhav Nagar,Kanadiya road",,
,,,,
Jhabua,Prashwantri Ayurveda Dr Prashant chawda,"Icchapurna complex, Atal Market Mandi Road",082693 37454,
,Govt. Ayurvedic Hospital,13-14,,
,Dr Dinesh Karma,Godha Parisar,093033 39299,
,Shakshi Ayurvedic Clinic,"H8V6+GW3, Main Road",,
,IMC Ayurvedic Medicines,J822+GXF,,
,Madhavbaug Clinic Dhar,"103- Kashibagh Colony Opposite Chiku garden, behind old rukmani motors office",062647 15959,
,Dr Rajpurohit Clinic,,,
,PATANJALI CHIKITSALAYA DHAR,"BHOJ MARG, 22/2, Dahreshwar Rd, near ANAJ MANDI",,
,Jai Guru Dev Homoeopathic Clinic,H8W2+G3X,,
,Pradhanmantri jan aushadhi kendra,"Shop no. 4 veer savarkar nagar thakur gas agency ke pass bhoj hospital chouhara, Mandav Rd",,
,Sparsh Ayurveda Panchkarma Wellness Clinic Indore,"Capital Tower, 8, Sapna Sangeeta Rd",074006 06060,
,Sairam ayurvedic panchkarma & infertility clinic(Dr Vikas mukati),behind gaytri temple,,
,vijay clinic,rajendra Marg,094250 71015,
,Guru Kripa Ayurvedic,W3X8+RRM,,
,"पतंजलि चिकित्सालय झाबुआ,पतंजलि मेन सेंटर झाबुआ",MP SH 39,,
,Ayurved Clinic,3W45+HPV,,
,"Psychology, Meditation & Ayurveda centre","6, Main Bus Stand Rd",,
,Ayurvedic Product,,,
,Arogyam Ayurveda Centre,2H4H+PC7,090982 33170,
,AYULEAF LIFE SCIENCES LLP,"1123, Sector C",092292 28855,
,Ramdev ayurvedic clinic & research center,"Singhana Rd, opp. Mangla Mandir complex",,
,"Nisarg Homeopathy, Ayurvedic Clinic","2WM2+W7X, LIC COMPLEX near Central Bank, Facing District Hospital Gate",,
,IGM Homoeopathic Medical College,131,,
,OJASW ayurved panchkarm clinic,29XH+C69,,
,अल्शिफा आयुर्वेदिक एकयुप्रेशर झाबुआ Alshifa acupressur jhabua,Sardar Bhagat Singh Marg,091318 67950,
,Joshi Clinic,·,080859 35045,
,Shri Dhanvantari Ayurved,"Ashagram Rd, near Ranjeet Club",098936 68885,
,Sobhagya Ayurveda Nadi shodhan panchkarma Ratlam mp,"Gali no 8 kasturba nager, Shakti Nagar Main Road, near mahaveer tent house",,
,Aastha Homeo Clinic,Jhabua Rd,098276 57009,
,Dr. Varun Saraf,"7 Tilak Marg, Amla line",099931 16463,
,Makwana Homeopathic Clinic,"5, Magajpura Rd",,
,,,,
Khandwa,"AYURVEDIC MEDICINE, ALLOPAITHY MEDICINE,ELECTROHOMEOPATHY MEDICINE Manufacturer",DR SONI AYURVED PHARMACY,098277 96688,
,SUSHRUSHA. (Dr.Chouhan's Ayrvedic Clinic),"R9F2+G7V, Shrikrishna Aushadhi Bhandar Budhwara Bajar",099933 10680,
,Patanjali Chikitsalaya,"M.I.G. - 93, Denndayal Puram",,
,Dr. Gite Clinic,R95C+QQ2,,
,Vaikalpic Natural medicine center.,R8HX+JWR,099814 36895,
,Ayush Panchkarma& ayurveda chikitsalay khandwa,"7, Aawasthi Chowk",098060 10115,
,Dr. Vijay Pawar Madhwamrit multi speciality Ayurved Hospital &panchkarm center,"R8GV+25Q, behind Utkrisht Vidyalaya",083697 22948,
,Sri sri gurudev shopi,"Mishra Hospital, near, teen pulaya",,
,Rao dawakhana Dr C M R A O,R8CP+2Q4,,
,Ortho Neuro Physiotherapy & Ayurvedic clinic,R9C5+478,,
,Sri Maruthi Medicals,"R8HX+3WF, Wamanrao Deo Marg",076928 94056,
,"Dr. Kailash Chouhan, Krishna Aushdi Bhandar",R9F2+H72,,
,Sanskar Ayurved Neurotherapy & Panchakarm Clinic,"UG-3, Lakshya Square, Khandwa Rd, opp. Queen's college",098260 53539,
,DR SONI AYURVED PHARMACY,"B No. 89, Garden Corner, Back Side Dr. Keshavrao Hedgewar Garden",098277 96688,
,Shree Baidyanath Aayurvedic Store,Vitthal Mandir Road Ghanta Ghar,,
,आयुर्वेदिक वैद्य दिलावर चाकरे,Khandwa - Mundi Rd,,
,Dr. Vishal Kapoor's Clinic,"Rathore Market, MG Rd",,
,Dr Sushma Khandelwal / Dr Sushma's Ayurveda hub / MD Ayurveda/Swarnprashan/Nadi Vaidya/counsellor/fertility clinic/migraine,"5, 47, Sapna Sangeeta Rd, next to bajaj sojatya show room microwave, opposite Gujarat Sweets",,
,Parashar Clinic Dr. Ak Parashar B.A.M.S( Int.),"02, Bhawani Mata Rd",090392 41342,
,Shri Mahashakti Ayurvedic Medical Store,"Shop No 09, Shri Krishna Market, Wamanrao Deo Marg, near Milan Tent House",096695 65566,
,Shri Mahashakti Ayurvedic Medical Store,"Shop No 09, Shri Krishna Market, Wamanrao Deo Marg, near Milan Tent House",096695 65566,
,Patanjali (Chikitsalay Avam Mega store ),"Khandwa Rd, opposite astha palace",094259 27932,
,Dr. R.S. Pawar,"31, Jawahar Marg",072802 24401,
,Ravi Ayurvedic Aushadhi Pratishthan,4 Ramganj,,
,Shree Dadaji Ayurvedic Store,"Shubham Hospital Ke Samne, Men Road",088894 41661,
,"Ayurveda with life, Ayurvedic and Panchkarma Consultant","Navkar nagar Face 1, behind jain mandir",,
,Ayurved And Panchkarma Clinic (Bhawarkuwa)Dr.Shivdayal Barde,"जानीदेवी आयुर्वेद, Bholaram Ustad Marg",095843 00960,
,"Dr Anurag Jain MD Ayurved | Best Ayurvedic Doctor / Clinic, Ayurveda Panchakarma Clinic in Indore","M-8, Amar Darshan, Saket Anand Bazar Square",094253 11773,
,Sparsh Ayurveda Panchkarma Wellness Clinic Indore,"Capital Tower, 8, Sapna Sangeeta Rd",074006 06060,
,Kayakalp - Best/Top Ayurvedic doctor / panchakarma shirodhara treatment massage center in indore near me,"18/2-c, Royal Avenue, 102, Lala Banarasilal Dawar Marg",098277 75075,
,Dr Shahs,"M6 Amardarshan, 28/2 Old palasia, Saket Square",092294 55119,
